Domain,category,Length,ExtensionScore,SpecialCharactersCount,DictionaryWordsBroken,EditDistance,AvgMonthlySearchVolume,IndividualWordsCount
noriomatsumoto.com,1,14,3,0,"['NO', 'RIO', 'MAT', 'SUM', 'OTO']",0,0,5
haplessmales.com,1,12,3,0,"['HAPLESS', 'MALES']",0,0,2
shivamchatuvedi.com,1,15,3,0,"['SHIV', 'AM', 'CHA', 'TU', 'VE', 'DI']",0,0,6
dailyfreebieoffer.com,1,17,3,0,"['DAILY', 'FREEBIE', 'OFFER']",0,0,3
poniemall.com,1,9,3,0,"['PON', 'IE', 'MALL']",0,0,3
iebilingueandresbello.com,1,21,3,0,"['IE', 'BILIN', 'GUE', 'AND', 'RES', 'BELLO']",0,0,6
carrotberry.com,1,11,3,0,"['CARROT', 'BERRY']",0,0,2
79uub.com,1,5,3,2,['RUB'],1,0,1
swampnaturals.com,1,13,3,0,"['SWAMP', 'NATURALS']",0,0,2
kayo44.com,1,6,3,2,['MAYO'],1,0,1
dailyskinmeds.com,1,13,3,0,"['DAILY', 'SKI', 'NM', 'EDS']",0,0,4
openroadfishing.com,1,15,3,0,"['OPEN', 'ROAD', 'FISHING']",0,0,3
strangconstruction.com,1,18,3,0,"['STRANG', 'CONSTRUCTION']",0,0,2
tviic.com,1,5,3,0,['TOXIC'],2,50,1
ma-wst.com,1,6,3,1,"['MA', 'WET']",1,0,2
mosquitoszn.com,1,11,3,0,"['MOSQUITOS', 'ZN']",0,0,2
bearclawathletics.com,1,17,3,0,"['BEAR', 'CLAW', 'ATHLETICS']",0,0,3
craftymonkeybin.com,1,15,3,0,"['CRAFTY', 'MONKEY', 'BIN']",0,0,3
urvisoft.com,1,8,3,0,"['UR', 'VI', 'SOFT']",0,0,3
a-nation-once-again.com,1,19,3,3,"['A', 'NATION', 'ONCE', 'AGAIN']",0,5000,4
idahobed.com,1,8,3,0,"['IDAHO', 'BED']",0,0,2
lucasdigital-academy.com,1,20,3,1,"['', 'ACADEMY']",12,0,2
wzfgrp.com,1,6,3,0,[''],6,0,1
ybyl8101.com,1,8,3,4,['BY'],2,0,1
retiringdads.com,1,12,3,0,"['RETIRING', 'DADS']",0,0,2
impartsocial.com,1,12,3,0,"['IMPART', 'SOCIAL']",0,50,2
atondevelopment.com,1,15,3,0,"['AT', 'ON', 'DEVELOPMENT']",0,0,3
christinewordless.com,1,17,3,0,"['CHRISTINE', 'WORDLESS']",0,0,2
imgonesaysomething.com,1,18,3,0,"['IM', 'GONE', 'SAY', 'SOMETHING']",0,0,4
treesforeurope.com,1,14,3,0,"['TREES', 'FOR', 'EUROPE']",0,0,3
ijccs.com,1,5,3,0,['ICES'],2,500,1
purebarreredondo.com,1,16,3,0,"['PURE', 'BARR', 'ERE', 'DON', 'DO']",0,0,5
aa8da.com,1,5,3,1,"['A', 'DA']",1,0,2
wwwstaystudio6.com,1,14,3,1,[''],13,0,1
2orbits.com,1,7,3,1,['ORBITS'],0,0,1
jxzskj.com,1,6,3,0,[''],6,0,1
rimrockbookkeeping.com,1,18,3,0,"['RIMROCK', 'BOOKKEEPING']",0,0,2
yourhomemattersgoulburn.com,1,23,3,0,"['YOUR', 'HOME', 'MATTERS', 'GOU', 'LB', 'URN']",0,0,6
discotecabanus.com,1,14,3,0,"['DISCO', 'TECA', 'BANUS']",0,0,3
gzdeshow.com,1,8,3,0,['SIDESHOW'],2,0,1
tumundogadget.com,1,13,3,0,"['TUM', 'UNDO', 'GADGET']",0,0,3
bamyouarethere.com,1,14,3,0,"['BAM', 'YOU', 'ARE', 'THERE']",0,0,4
endsci.com,1,6,3,0,"['END', 'SCI']",0,0,2
dealteamhq.com,1,10,3,0,"['DEAL', 'TEAM', 'HQ']",0,0,3
dealnopoly.com,1,10,3,0,"['DEAL', 'NO', 'POLY']",0,0,3
plmey.com,1,5,3,0,['PLAY'],2,0,1
gauthierjulie.com,1,13,3,0,"['GAUT', 'HI', 'ER', 'JULIE']",0,0,4
goldenalleytattooco.com,1,19,3,0,"['GOLDEN', 'ALLEY', 'TATTOO', 'CO']",0,0,4
thewatchdetective.com,1,17,3,0,"['THE', 'WATCH', 'DETECTIVE']",0,0,3
virtualpartyprofessionals.com,1,25,3,0,"['VIRTUAL', 'PARTY', 'PROFESSIONALS']",0,0,3
jcdrywallpaint.com,1,14,3,0,[''],14,0,1
payrollcustomerservice.com,1,22,3,0,"['PAYROLL', 'CUSTOMER', 'SERVICE']",0,0,3
386429.com,1,6,3,6,[],0,50,1
caipiao7145.com,1,11,3,4,"['CAI', 'PI', 'AO']",0,0,3
got-sold.com,1,8,3,1,"['GOT', 'SOLD']",0,500,2
88877748.com,1,8,3,8,[],0,0,1
mipaikipjember.com,1,14,3,0,[''],14,0,1
gordonstankavage.com,1,16,3,0,"['GOR', 'DONS', 'TANKA', 'VAGE']",0,0,4
qbestgg.com,1,7,3,0,[''],7,0,1
trailheadfood.com,1,13,3,0,"['TRAILHEAD', 'FOOD']",0,0,2
belliniedgewater.com,1,16,3,0,"['BELLI', 'NI', 'EDGE', 'WATER']",0,0,4
luciouslook.com,1,11,3,0,"['LUC', 'IO', 'US', 'LOOK']",0,0,4
nonstopska.com,1,10,3,0,"['NONSTOP', 'SKA']",0,50,2
dennismserafinislandscaping.com,1,27,3,0,"['DEN', 'NI', 'SM', 'SERA', 'FINIS', 'LANDSCAPING']",0,0,6
itguytech.com,1,9,3,0,"['IT', 'GUY', 'TECH']",0,0,3
cz0218.com,1,6,3,4,['CA'],1,0,1
ijmscents.com,1,9,3,0,[''],9,0,1
onlineomiai.com,1,11,3,0,"['ON', 'LI', 'NEO', 'MI', 'AI']",0,0,5
deniaalvarezabogados.com,1,20,3,0,"['DE', 'NI', 'AAL', 'VARE', 'ZA', 'BOG', 'ADOS']",0,0,7
hearandplay703.com,1,14,3,3,"['HEAR', 'AND', 'PLAY']",0,0,3
kenzensolutions.com,1,15,3,0,"['KEN', 'ZEN', 'SOLUTIONS']",0,0,3
universalelectronicgadgets.com,1,26,3,0,"['UNIVERSAL', 'ELECTRONIC', 'GADGETS']",0,0,3
themedicareacademy.com,1,18,3,0,"['THE', 'MEDICARE', 'ACADEMY']",0,0,3
amerswer.com,1,8,3,0,"['AM', 'ERS', 'WER']",0,0,3
artisanadancers.com,1,15,3,0,"['AR', 'TIS', 'ANA', 'DANCERS']",0,0,4
kre9ap.com,1,6,3,1,"['ARE', 'AP']",1,0,2
lodgingconsult.com,1,14,3,0,"['LODGING', 'CONSULT']",0,0,2
1267joycasino.com,1,13,3,4,"['JOY', 'CASINO']",0,0,2
sleepwellmat.com,1,12,3,0,"['SLEEP', 'WELL', 'MAT']",0,0,3
nuneekguys.com,1,10,3,0,[''],10,0,1
pingsphone.com,1,10,3,0,"['PINGS', 'PHONE']",0,0,2
sofrindex.com,1,9,3,0,"['SO', 'FR', 'INDEX']",0,50,3
fatboybaldy.com,1,11,3,0,"['FAT', 'BOY', 'BALDY']",0,0,3
revouge.com,1,7,3,0,"['RE', 'VOUGE']",0,50,2
astropets.com,1,9,3,0,"['AST', 'RO', 'PETS']",0,500,3
gypsysoulboutiqueandsalon.com,1,25,3,0,"['GYPSY', 'SOUL', 'BOUTIQUE', 'AND', 'SALON']",0,0,5
xy857857.com,1,8,3,6,['XY'],0,0,1
wh1167.com,1,6,3,4,['WE'],1,0,1
hmvgv.com,1,5,3,0,['HOVV'],2,0,1
boweryincorporated.com,1,18,3,0,"['BOWERY', 'INCORPORATED']",0,0,2
jungspine.com,1,9,3,0,"['JU', 'NG', 'SPINE']",0,0,3
meanstylee.com,1,10,3,0,"['MEAN', 'STY', 'LEE']",0,0,3
extractionfilm.com,1,14,3,0,"['EXTRACTION', 'FILM']",0,0,2
livembc.com,1,7,3,0,"['LIV', 'EM', 'BC']",0,50,3
cvoyager.com,1,8,3,0,"['CV', 'OY', 'AGER']",0,500000,3
purewhitekidneybeans.com,1,20,3,0,"['PURE', 'WHITE', 'KIDNEY', 'BEANS']",0,0,4
yq83738128.com,1,10,3,8,['YA'],1,0,1
cc549888.com,1,8,3,6,['CA'],1,0,1
